compound_id,safe_id,smiles,category,mw,logp,source
CID53497572,CID53497572,CNC(=O)c1cnc(N)c2cc(-c3ccc(S(=O)(=O)NC(C)(C)C)cc3)sc12,academic_HTS_hit,418.54,2.98,pubchem
CID71157,CID71157,Cc1cccc(C)c1NC(=O)CN1CCCC1=O,academic_HTS_hit,246.31,1.86,pubchem
CID3476,CID3476,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCC(C)CC3)cc2)C1=O,academic_HTS_hit,490.63,3.07,pubchem
CID6476,CID6476,CN1C(=O)CC(C)(c2ccccc2)C1=O,academic_HTS_hit,203.24,1.33,pubchem
CID25022354,CID25022354,CC(C)(C)OC[C@@H]1C(=O)NCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,academic_HTS_hit,401.43,1.51,pubchem
CID9843750,CID9843750,CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@@H]1C(=O)N(C)CCc2ccccc21,academic_HTS_hit,361.44,0.38,pubchem
CID71872,CID71872,CC(C(=O)c1ccccc1)N(C)C,academic_HTS_hit,177.25,1.82,pubchem
CID132441,CID132441,NC(=O)CN1CC(c2ccccc2)CC1=O,academic_HTS_hit,218.26,0.49,pubchem
CID17076,CID17076,CCN(CC)C(=O)Cc1ccccc1,academic_HTS_hit,191.27,2.1,pubchem
CID33925,CID33925,CCC1(c2ccccc2)C(=O)N(COC)C(=O)N(COC)C1=O,academic_HTS_hit,320.34,1.33,pubchem
CID180496,CID180496,CCOC(=O)CNC(=O)[C@@H]1CCCN1C(=O)Cc1ccccc1,academic_HTS_hit,318.37,0.9,pubchem
CID54929,CID54929,O=c1[nH]c(=O)n(COCCO)cc1Cc1ccccc1,academic_HTS_hit,276.29,0.09,pubchem
CID52195,CID52195,CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21,academic_HTS_hit,308.43,3.22,pubchem
CID6918637,CID6918637,CN[C@H](C(=O)N[C@H](C(=O)N(C)[C@H](/C=C(\C)C(=O)O)C(C)C)C(C)(C)C)C(C)(C)c1ccccc1,academic_HTS_hit,473.66,3.6,pubchem
CID60510,CID60510,CC(Cc1ccccc1)(NC(=O)CN)c1ccccc1.Cl,academic_HTS_hit,304.82,2.64,pubchem
CID92142,CID92142,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,academic_HTS_hit,258.23,0.09,pubchem
CID9810996,CID9810996,COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)O)NCCC(C)(C)C,academic_HTS_hit,378.47,1.76,pubchem
CID10958189,CID10958189,Cc1ccc(C(C)NC(=O)[C@@H](NC(=O)OC(C)C)C(C)C)cc1,academic_HTS_hit,320.43,3.33,pubchem
CID102669,CID102669,CCN(CC)CCC1(c2ccccc2)CCC(=O)NC1=O,academic_HTS_hit,288.39,2.09,pubchem
CID72026,CID72026,O=C(C1CCCCC1)N1CC(=O)N2CCCc3ccccc3C2C1,academic_HTS_hit,326.44,2.93,pubchem
CID45266826,CID45266826,CNC(C)C(=O)c1ccc(C)cc1,academic_HTS_hit,177.25,1.79,pubchem
CID1576,CID1576,CNC(C)C(=O)c1ccccc1,academic_HTS_hit,163.22,1.48,pubchem
CID74839,CID74839,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O,academic_HTS_hit,207.23,0.82,pubchem
